"","phylum","TFZ002_8073","TFZ002_8070","TFZ002_8004","TFZ002_8003","TFZ002_8001","TFZ002_8000","Stahl_21","Stahl_20","Stahl_19","Stahl_18","Stahl_17","Stahl_16","Stahl_15","Stahl_14","Stahl_13","Stahl_12","Stahl_11","Stahl_10","Stahl_09","Stahl_08","Stahl_07","Stahl_06","Stahl_05","Stahl_04","Stahl_03","Stahl_02","Stahl_01","RS0001_1223","RS0001_1222","RS0001_1221","RS0001_1218","RS0001_1206","RS0001_1197","RS0001_1196","RS0001_1181","RS0001_1180","RS0001_1173","RS0001_1171","HG0155_0057","HG0155_0056","HG0155_0055","HG0155_0049","HG0155_0048","HG0155_0047","HG0001_9881","HG0001_9880","HG0001_9879","HG0001_9878","HG0001_9877","HG0001_9876","Geiger_10","Geiger_09","Geiger_08","Geiger_07","Geiger_06","Geiger_05","Geiger_02","Geiger_01"
"Candidatus.Vogelbacteria","Candidatus.Vogelbacteria",43,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,34,57,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,48,25,28,39,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Wallbacteria","Candidatus.Wallbacteria",76,41,NA,109,60,NA,54,34,NA,NA,NA,35,NA,NA,28,NA,67,NA,78,61,60,71,55,124,94,NA,NA,NA,NA,NA,NA,25,37,NA,45,NA,NA,NA,142,63,56,67,71,80,NA,NA,52,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Wildermuthbacteria","Candidatus.Wildermuthbacteria",51,24,NA,80,51,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,66,NA,NA,NA,28,26,NA,39,30,36,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Wirthbacteria","Candidatus.Wirthbacteria",27,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,29,57,35,32,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,34,NA,NA,NA,NA,NA,27,28,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Woesebacteria","Candidatus.Woesebacteria",176,113,144,260,159,63,200,53,68,43,46,100,161,77,82,79,199,59,255,101,75,313,224,124,86,25,24,115,60,95,116,112,102,59,55,60,88,118,80,72,74,46,68,79,74,34,127,45,58,72,30,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Wolfebacteria","Candidatus.Wolfebacteria",112,77,42,NA,57,39,90,NA,56,NA,NA,68,119,39,64,59,182,NA,46,86,113,31,72,30,51,28,NA,39,37,37,77,95,43,45,29,27,57,36,NA,29,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Woykebacteria","Candidatus.Woykebacteria",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Yanofskybacteria","Candidatus.Yanofskybacteria",110,66,50,146,122,36,60,32,29,43,40,95,147,84,85,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,52,62,64,46,111,44,81,54,90,80,125,105,95,71,100,75,29,42,50,25,51,38,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Yonathbacteria","Candidatus.Yonathbacteria",NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Zambryskibacteria","Candidatus.Zambryskibacteria",105,38,26,25,39,27,87,48,53,42,35,98,114,87,84,52,93,NA,NA,33,NA,35,45,NA,35,NA,NA,32,32,33,39,25,36,28,35,NA,47,31,75,39,29,41,39,38,NA,30,27,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chlamydiae","Chlamydiae",24963,33409,60280,415028,161238,91113,856,2077,9617,113755,4477,5052,1365,2999,23326,2283,1601,1447,3584,1602,2356,4620,1808,1894,1674,974,1593,30388,5982,29061,21450,31723,7103,101497,205719,34500,88881,31167,234730,93341,323722,150908,101351,70497,48612,68492,515328,19505,20431,91102,40008,16902,1442,6578,128879,211,10555,6075
